ID,Date,GPSC
20925_3#81,2014.083333,57
16288_4#34,2012.583333,57
16288_3#60,2012.333333,57
17794_8#32,2010.666667,57
13710_2#55,2012,57
13710_2#4,2012,57
13710_2#10,2012.083333,57
13710_1#30,2012.166667,57
13414_1#35,2009.333333,57
13710_2#35,2012,57
15682_1#75,2011,57
9789_5#90,2009.75,57
9789_3#81,2009.333333,57
18456_1#17,2014.583333,57
17150_5#2,2010.666667,57
15531_4#14,2014.5,57
15378_4#49,2009.666667,57
15378_3#65,2009.583333,57
15378_3#40,2009.666667,57
15378_3#35,2009.666667,57
14936_5#72,2010.5,57
14673_4#7,2001.75,57
13414_8#3,2006.083333,57
13710_2#64,2012.916667,57
13710_1#51,2009.166667,57
22841_4#25,2011.5,57
22841_4#140,2012.5,57
22841_2#7,2013.5,57
22841_2#133,2014.5,57
12299_1#56,2009.916667,57
17175_8#23,2014.333333,57
14936_4#17,2013.166667,57
18090_5#39,2010.5,57
17175_5#44,2010.5,57
17150_5#51,2010.5,57
17150_4#71,2010.333333,57
17059_8#17,2012.666667,57
17059_6#74,2013.5,57
15995_1#84,2009.583333,57
15995_1#80,2009.666667,57
15995_1#72,2009.666667,57
15873_1#12,2011.666667,57
15841_5#82,2009.666667,57
15841_4#18,2011.666667,57
15841_3#90,2011.5,57
15841_3#59,2011.666667,57
15841_3#11,2011.5,57
15841_2#66,2011.583333,57
15841_1#1,2009.666667,57
15731_8#5,2009.5,57
12837_3#73,2005.833333,57
12837_2#67,2005.666667,57
14673_4#5,2004.333333,57
14566_5#19,2010.333333,57
17175_6#80,2010.5,57
14913_6#1,2013.666667,57
