Node	Total SNPs	Num of SNPs inside recombinations	Num of SNPs outside recombinations	Num of Recombination Blocks	Bases in Recombinations	r/m	rho/theta	Genome Length	Bases in Clonal Frame
17870_7#136	1	0	1	0	24811	0.000000	0.000000	2069883	2046198
15378_3#13	1	0	1	0	7163	0.000000	0.000000	2107416	2100453
15378_4#60	0	0	0	0	26923	0.000000	0.000000	2071707	2045161
14936_6#83	56	37	19	1	26827	1.947368	0.052632	2071608	2064845
17870_8#122	15	0	15	0	0	0.000000	0.000000	2107400	2107400
14936_6#42	1	0	1	0	270	0.000000	0.000000	2106266	2105995
14936_6#36	107	74	33	3	33711	2.242424	0.090909	2067242	2060494
14936_6#40	3	0	3	0	270	0.000000	0.000000	2106285	2106014
14936_6#67	19	7	12	1	735	0.583333	0.083333	2106472	2106472
15531_2#23	143	122	21	4	30379	5.809524	0.190476	2054030	2054030
9789_3#80	50	43	7	1	26735	6.142857	0.142857	2077377	2070541
17870_7#70	6	0	6	0	26748	0.000000	0.000000	2066693	2042824
15378_3#91	14	0	14	0	0	0.000000	0.000000	2105127	2105127
14936_6#41	1	0	1	0	270	0.000000	0.000000	2106288	2106017
17870_7#153	0	0	0	0	77	0.000000	0.000000	2107708	2107630
15378_4#10	8	0	8	0	6985	0.000000	0.000000	2069679	2062928
12290_3#44	9	0	9	0	0	0.000000	0.000000	2107549	2107549
15378_3#70	83	76	7	1	26717	10.857142	0.142857	2077200	2070425
9789_5#22	0	0	0	0	7163	0.000000	0.000000	2107483	2100501
18456_1#169	31	0	31	0	1347	0.000000	0.000000	2069428	2069428
18456_1#10	1	0	1	0	0	0.000000	0.000000	2069620	2069620
14936_5#48	0	0	0	0	26923	0.000000	0.000000	2071438	2045060
14936_6#75	270	243	27	1	37278	9.000000	0.037037	2085197	2083737
17870_8#135	0	0	0	0	0	0.000000	0.000000	2068238	2068238
15378_2#66	0	0	0	0	6985	0.000000	0.000000	2069633	2062895
17870_7#128	8	0	8	0	26923	0.000000	0.000000	2071534	2044918
14936_6#45	0	0	0	0	270	0.000000	0.000000	2106233	2105962
15531_4#13	0	0	0	0	26843	0.000000	0.000000	2075842	2049521
15378_2#15	0	0	0	0	0	0.000000	0.000000	2067846	2067846
17870_7#43	38	11	27	2	310	0.407407	0.074074	2107435	2107435
14936_6#63	17	0	17	0	0	0.000000	0.000000	2106669	2106669
15378_4#34	0	0	0	0	801	0.000000	0.000000	2107224	2106539
14936_6#34	0	0	0	0	26709	0.000000	0.000000	2077988	2052250
17870_7#139	1	0	1	0	24811	0.000000	0.000000	2069656	2046034
14936_6#82	0	0	0	0	26831	0.000000	0.000000	2078039	2051794
12290_3#36	0	0	0	0	6985	0.000000	0.000000	2068110	2062709
14936_6#44	0	0	0	0	26709	0.000000	0.000000	2078144	2052414
17870_8#168	31	0	31	0	0	0.000000	0.000000	2107726	2107726
14936_5#47	13	0	13	0	1347	0.000000	0.000000	2069126	2069126
15378_3#78	25	6	19	1	1848	0.315789	0.052632	2107199	2105851
17870_7#131	0	0	0	0	6985	0.000000	0.000000	2068355	2062834
15531_4#19	38	19	19	1	6985	1.000000	0.052632	2069818	2063026
14936_6#43	0	0	0	0	270	0.000000	0.000000	2106251	2105980
17870_8#142	1	0	1	0	0	0.000000	0.000000	2107648	2107648
17870_8#123	159	147	12	1	37688	12.250000	0.083333	2096066	2096066
17870_7#80	23	0	23	0	0	0.000000	0.000000	2106574	2106574
17870_7#99	28	0	28	0	0	0.000000	0.000000	2106986	2106986
17870_8#184	24	0	24	0	6985	0.000000	0.000000	2069609	2063110
17966_5#79	32	0	32	0	0	0.000000	0.000000	2107223	2107223
15531_2#27	196	182	14	1	37577	13.000000	0.071429	2082654	2077504
17870_8#104	4	0	4	0	0	0.000000	0.000000	2069808	2069808
18456_1#43	20	6	14	1	7108	0.428571	0.071429	2069409	2062591
17870_7#54	10	0	10	0	0	0.000000	0.000000	2107330	2107330
17870_7#137	1	0	1	0	26923	0.000000	0.000000	2071490	2045016
